sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
I,0.365,73,0.295,29.5,0.095,19,0.25,50,9,10.5
I,0.345,69,0.275,27.5,0.095,19,0.1995,39.9,6,7.5
I,0.39,78,0.31,31,0.1,20,0.302,60.4,11,12.5
F,0.5,100,0.395,39.5,0.14,28,0.7155,143.1,10,11.5
M,0.47,94,0.38,38,0.145,29,0.5865,117.3,8,9.5
M,0.535,107,0.44,44,0.15,30,0.6765,135.3,12,13.5
M,0.585,117,0.455,45.5,0.15,30,0.987,197.4,11,12.5
F,0.485,97,0.365,36.5,0.12,24,0.5885,117.7,9,10.5
M,0.515,103,0.455,45.5,0.135,27,0.7225,144.5,9,10.5
F,0.435,87,0.325,32.5,0.11,22,0.4335,86.7,7,8.5
F,0.515,103,0.415,41.5,0.14,28,0.6935,138.7,10,11.5
I,0.44,88,0.345,34.5,0.12,24,0.365,73,7,8.5
F,0.525,105,0.44,44,0.15,30,0.8425,168.5,12,13.5
M,0.45,90,0.355,35.5,0.115,23,0.479,95.8,8,9.5
M,0.59,118,0.485,48.5,0.12,24,0.911,182.2,16,17.5
M,0.555,111,0.45,45,0.145,29,0.915,183,11,12.5
M,0.57,114,0.44,44,0.095,19,0.827,165.4,8,9.5
M,0.59,118,0.5,50,0.165,33,1.1045,220.9,15,16.5
M,0.585,117,0.475,47.5,0.12,24,0.945,189,14,15.5
F,0.58,116,0.46,46,0.12,24,0.9935,198.7,11,12.5
M,0.545,109,0.44,44,0.12,24,0.8565,171.3,12,13.5
F,0.605,121,0.495,49.5,0.17,34,1.2385,247.7,14,15.5
F,0.62,124,0.47,47,0.14,28,1.0325,206.5,15,16.5
F,0.63,126,0.5,50,0.17,34,1.3135,262.7,20,21.5
M,0.63,126,0.515,51.5,0.165,33,1.352,270.4,20,21.5
F,0.63,126,0.5,50,0.155,31,1.005,201,16,17.5
M,0.545,109,0.41,41,0.14,28,0.625,125,13,14.5
F,0.67,134,0.54,54,0.165,33,1.5015,300.3,14,15.5
I,0.49,98,0.38,38,0.12,24,0.529,105.8,11,12.5
F,0.49,98,0.39,39,0.135,27,0.5785,115.7,13,14.5
I,0.29,58,0.225,22.5,0.07,14,0.101,20.2,8,9.5
I,0.26,52,0.2,20,0.07,14,0.092,18.4,6,7.5
M,0.58,116,0.45,45,0.175,35,1.068,213.6,13,14.5
F,0.61,122,0.485,48.5,0.165,33,1.0915,218.3,18,19.5
M,0.6,120,0.5,50,0.16,32,1.015,203,19,20.5
F,0.56,112,0.455,45.5,0.125,25,0.943,188.6,21,22.5
F,0.575,115,0.45,45,0.17,34,1.0475,209.5,18,19.5
F,0.57,114,0.45,45,0.175,35,0.9555,191.1,18,19.5
M,0.6,120,0.47,47,0.155,31,1.036,207.2,20,21.5
M,0.565,113,0.455,45.5,0.17,34,0.9065,181.3,18,19.5
M,0.545,109,0.42,42,0.14,28,0.7505,150.1,22,23.5
I,0.44,88,0.345,34.5,0.1,20,0.366,73.2,13,14.5
M,0.5,100,0.41,41,0.15,30,0.662,132.4,11,12.5
I,0.36,72,0.275,27.5,0.095,19,0.217,43.4,7,8.5
I,0.385,77,0.305,30.5,0.095,19,0.252,50.4,14,15.5
M,0.39,78,0.3,30,0.09,18,0.3055,61.1,9,10.5
M,0.5,100,0.415,41.5,0.165,33,0.6885,137.7,13,14.5
I,0.36,72,0.275,27.5,0.11,22,0.2335,46.7,10,11.5
I,0.335,67,0.26,26,0.1,20,0.192,38.4,8,9.5
F,0.505,101,0.425,42.5,0.14,28,0.85,170,19,20.5
I,0.395,79,0.295,29.5,0.1,20,0.2715,54.3,10,11.5
F,0.41,82,0.325,32.5,0.105,21,0.3635,72.7,10,11.5
F,0.56,112,0.455,45.5,0.19,38,0.714,142.8,9,10.5
M,0.565,113,0.435,43.5,0.185,37,0.9815,196.3,13,14.5
M,0.565,113,0.455,45.5,0.185,37,0.9265,185.3,16,17.5
M,0.605,121,0.5,50,0.175,35,1.098,219.6,12,13.5
F,0.565,113,0.455,45.5,0.15,30,0.8205,164.1,18,19.5
M,0.725,145,0.565,56.5,0.215,43,1.891,378.2,16,17.5
F,0.675,135,0.535,53.5,0.16,32,1.41,282,16,17.5
F,0.665,133,0.555,55.5,0.195,39,1.4385,287.7,17,18.5
F,0.565,113,0.49,49,0.155,31,0.9245,184.9,11,12.5
F,0.645,129,0.55,55,0.175,35,1.2915,258.3,14,15.5
M,0.575,115,0.47,47,0.14,28,0.8375,167.5,11,12.5
F,0.64,128,0.54,54,0.175,35,1.221,244.2,15,16.5
I,0.36,72,0.28,28,0.105,21,0.199,39.8,9,10.5
I,0.415,83,0.31,31,0.11,22,0.2965,59.3,10,11.5
F,0.525,105,0.41,41,0.135,27,0.7085,141.7,11,12.5
M,0.38,76,0.285,28.5,0.1,20,0.2665,53.3,11,12.5
F,0.585,117,0.465,46.5,0.17,34,0.9915,198.3,12,13.5
I,0.24,48,0.185,18.5,0.07,14,0.0715,14.3,6,7.5
I,0.22,44,0.165,16.5,0.055,11,0.0545,10.9,5,6.5
I,0.255,51,0.195,19.5,0.07,14,0.0735,14.7,6,7.5
I,0.175,35,0.125,12.5,0.05,10,0.0235,4.7,5,6.5
F,0.67,134,0.55,55,0.19,38,1.3905,278.1,12,13.5
M,0.655,131,0.53,53,0.195,39,1.388,277.6,13,14.5
F,0.68,136,0.55,55,0.21,42,1.7445,348.9,17,18.5
M,0.675,135,0.555,55.5,0.2,40,1.4385,287.7,21,22.5
F,0.53,106,0.44,44,0.135,27,0.7835,156.7,9,10.5
F,0.515,103,0.405,40.5,0.12,24,0.646,129.2,10,11.5
I,0.43,86,0.34,34,0.12,24,0.3575,71.5,9,10.5
F,0.52,104,0.405,40.5,0.12,24,0.627,125.4,11,12.5
F,0.545,109,0.415,41.5,0.16,32,0.7715,154.3,10,11.5
M,0.53,106,0.415,41.5,0.175,35,0.7395,147.9,17,18.5
F,0.465,93,0.35,35,0.115,23,0.421,84.2,9,10.5
M,0.665,133,0.54,54,0.175,35,1.347,269.4,17,18.5
M,0.735,147,0.59,59,0.225,45,1.756,351.2,21,22.5
M,0.66,132,0.545,54.5,0.185,37,1.32,264,16,17.5
F,0.7,140,0.585,58.5,0.185,37,1.8075,361.5,29,30.5
M,0.575,115,0.4,40,0.155,31,0.9325,186.5,17,18.5
M,0.57,114,0.465,46.5,0.125,25,0.849,169.8,15,16.5
F,0.58,116,0.46,46,0.15,30,0.9955,199.1,19,20.5
M,0.63,126,0.48,48,0.145,29,1.0115,202.3,12,13.5
F,0.585,117,0.465,46.5,0.14,28,0.908,181.6,13,14.5
M,0.55,110,0.45,45,0.13,26,0.92,184,11,12.5
F,0.625,125,0.515,51.5,0.15,30,1.2415,248.3,15,16.5
M,0.54,108,0.42,42,0.135,27,0.8075,161.5,11,12.5
F,0.57,114,0.455,45.5,0.165,33,1.0595,211.9,14,15.5
M,0.59,118,0.455,45.5,0.145,29,1.073,214.6,14,15.5
M,0.58,116,0.46,46,0.13,26,0.921,184.2,13,14.5
F,0.655,131,0.51,51,0.155,31,1.2895,257.9,11,12.5
M,0.655,131,0.53,53,0.175,35,1.2635,252.7,15,16.5
M,0.625,125,0.5,50,0.195,39,1.369,273.8,17,18.5
F,0.625,125,0.5,50,0.15,30,0.953,190.6,15,16.5
F,0.64,128,0.52,52,0.175,35,1.248,249.6,12,13.5
F,0.605,121,0.485,48.5,0.165,33,1.0105,202.1,19,20.5
F,0.615,123,0.525,52.5,0.155,31,1.0385,207.7,11,12.5
M,0.555,111,0.45,45,0.175,35,0.874,174.8,10,11.5
F,0.58,116,0.44,44,0.18,36,0.854,170.8,12,13.5
F,0.62,124,0.52,52,0.225,45,1.1835,236.7,23,24.5
F,0.62,124,0.47,47,0.225,45,1.115,223,15,16.5
F,0.6,120,0.505,50.5,0.19,38,1.129,225.8,13,14.5
F,0.625,125,0.485,48.5,0.19,38,1.1745,234.9,17,18.5
M,0.6,120,0.47,47,0.175,35,1.105,221,15,16.5
M,0.56,112,0.46,46,0.235,47,0.8395,167.9,12,13.5
M,0.585,117,0.455,45.5,0.225,45,1.055,211,15,16.5
M,0.56,112,0.435,43.5,0.18,36,0.889,177.8,11,12.5
I,0.56,112,0.445,44.5,0.155,31,0.8735,174.7,16,17.5
I,0.68,136,0.53,53,0.185,37,1.1095,221.9,10,11.5
F,0.455,91,0.35,35,0.14,28,0.5185,103.7,10,11.5
F,0.49,98,0.38,38,0.145,29,0.6725,134.5,10,11.5
M,0.31,62,0.22,22,0.085,17,0.146,29.2,6,7.5
F,0.275,55,0.195,19.5,0.07,14,0.08,16,5,6.5
M,0.27,54,0.195,19.5,0.08,16,0.1,20,6,7.5
M,0.4,80,0.29,29,0.115,23,0.2795,55.9,9,10.5
M,0.28,56,0.2,20,0.08,16,0.0915,18.3,5,6.5
M,0.325,65,0.23,23,0.09,18,0.147,29.4,4,5.5
F,0.345,69,0.25,25,0.09,18,0.203,40.6,6,7.5
M,0.21,42,0.15,15,0.05,10,0.0385,7.7,3,4.5
F,0.36,72,0.27,27,0.09,18,0.1885,37.7,5,6.5
I,0.365,73,0.26,26,0.115,23,0.218,43.6,9,10.5
M,0.2,40,0.14,14,0.055,11,0.035,7,5,6.5
M,0.235,47,0.16,16,0.06,12,0.0545,10.9,4,5.5
M,0.175,35,0.125,12.5,0.04,8,0.024,4.8,4,5.5
M,0.155,31,0.11,11,0.04,8,0.0155,3.1,3,4.5
F,0.57,114,0.445,44.5,0.155,31,0.733,146.6,14,15.5
F,0.57,114,0.45,45,0.16,32,0.9715,194.3,12,13.5
M,0.385,77,0.3,30,0.095,19,0.24,48,9,10.5
I,0.53,106,0.42,42,0.185,37,0.752,150.4,20,21.5
F,0.46,92,0.355,35.5,0.13,26,0.458,91.6,13,14.5
I,0.47,94,0.37,37,0.12,24,0.4705,94.1,12,13.5
F,0.435,87,0.335,33.5,0.11,22,0.38,76,9,10.5
I,0.47,94,0.37,37,0.14,28,0.4985,99.7,10,11.5
I,0.465,93,0.38,38,0.13,26,0.454,90.8,11,12.5
I,0.52,104,0.405,40.5,0.14,28,0.5775,115.5,11,12.5
M,0.29,58,0.23,23,0.075,15,0.1165,23.3,7,8.5
M,0.275,55,0.205,20.5,0.07,14,0.094,18.8,5,6.5
F,0.375,75,0.29,29,0.115,23,0.2705,54.1,10,11.5
F,0.5,100,0.375,37.5,0.14,28,0.604,120.8,15,16.5
F,0.44,88,0.355,35.5,0.115,23,0.415,83,11,12.5
M,0.42,84,0.325,32.5,0.115,23,0.2885,57.7,15,16.5
M,0.445,89,0.35,35,0.115,23,0.3615,72.3,8,9.5
F,0.38,76,0.29,29,0.105,21,0.257,51.4,10,11.5
M,0.32,64,0.245,24.5,0.075,15,0.1555,31.1,11,12.5
M,0.255,51,0.195,19.5,0.065,13,0.08,16,8,9.5
M,0.205,41,0.155,15.5,0.045,9,0.0425,8.5,7,8.5
F,0.565,113,0.45,45,0.16,32,0.795,159,12,13.5
I,0.555,111,0.425,42.5,0.18,36,0.875,175,11,12.5
I,0.65,130,0.515,51.5,0.16,32,1.1625,232.5,17,18.5
I,0.615,123,0.49,49,0.155,31,0.9885,197.7,13,14.5
I,0.56,112,0.44,44,0.165,33,0.8,160,12,13.5
I,0.48,96,0.37,37,0.12,24,0.514,102.8,13,14.5
I,0.485,97,0.39,39,0.125,25,0.591,118.2,9,10.5
I,0.5,100,0.385,38.5,0.15,30,0.6265,125.3,10,11.5
I,0.525,105,0.405,40.5,0.15,30,0.795,159,14,15.5
F,0.66,132,0.5,50,0.165,33,1.1905,238.1,12,13.5
F,0.66,132,0.53,53,0.17,34,1.326,265.2,13,14.5
I,0.52,104,0.4,40,0.145,29,0.66,132,13,14.5
F,0.44,88,0.34,34,0.105,21,0.364,72.8,8,9.5
I,0.515,103,0.4,40,0.12,24,0.659,131.8,13,14.5
F,0.475,95,0.35,35,0.115,23,0.452,90.4,11,12.5
F,0.545,109,0.415,41.5,0.15,30,0.7335,146.7,11,12.5
F,0.47,94,0.355,35.5,0.13,26,0.5465,109.3,14,15.5
M,0.35,70,0.255,25.5,0.065,13,0.179,35.8,10,11.5
I,0.485,97,0.355,35.5,0.13,26,0.581,116.2,12,13.5
I,0.435,87,0.33,33,0.125,25,0.406,81.2,12,13.5
M,0.28,56,0.21,21,0.08,16,0.1085,21.7,7,8.5
F,0.41,82,0.32,32,0.115,23,0.387,77.4,11,12.5
I,0.45,90,0.35,35,0.14,28,0.474,94.8,16,17.5
I,0.45,90,0.345,34.5,0.135,27,0.443,88.6,14,15.5
F,0.59,118,0.455,45.5,0.155,31,1.066,213.2,20,21.5
F,0.57,114,0.44,44,0.14,28,0.9535,190.7,17,18.5
I,0.61,122,0.475,47.5,0.15,30,0.9665,193.3,10,11.5
F,0.61,122,0.475,47.5,0.14,28,1.133,226.6,11,12.5
I,0.56,112,0.425,42.5,0.14,28,0.9175,183.5,10,11.5
F,0.585,117,0.435,43.5,0.175,35,0.982,196.4,10,11.5
I,0.58,116,0.445,44.5,0.15,30,0.8865,177.3,11,12.5
F,0.63,126,0.48,48,0.175,35,1.3675,273.5,17,18.5
F,0.625,125,0.49,49,0.175,35,1.233,246.6,11,12.5
I,0.55,110,0.425,42.5,0.15,30,0.806,161.2,14,15.5
F,0.645,129,0.525,52.5,0.19,38,1.4635,292.7,19,20.5
I,0.46,92,0.355,35.5,0.14,28,0.4935,98.7,13,14.5
F,0.41,82,0.305,30.5,0.1,20,0.363,72.6,11,12.5
I,0.495,99,0.39,39,0.125,25,0.6655,133.1,11,12.5
I,0.52,104,0.425,42.5,0.17,34,0.6805,136.1,10,11.5
F,0.55,110,0.41,41,0.145,29,0.8285,165.7,13,14.5
M,0.45,90,0.335,33.5,0.14,28,0.4625,92.5,14,15.5
F,0.405,81,0.31,31,0.12,24,0.3095,61.9,13,14.5
I,0.51,102,0.4,40,0.15,30,0.745,149,13,14.5
F,0.37,74,0.29,29,0.115,23,0.25,50,9,10.5
I,0.525,105,0.41,41,0.175,35,0.874,174.8,18,19.5
F,0.66,132,0.52,52,0.18,36,1.514,302.8,19,20.5
M,0.535,107,0.42,42,0.15,30,0.6995,139.9,12,13.5
I,0.575,115,0.455,45.5,0.18,36,0.8525,170.5,13,14.5
F,0.55,110,0.43,43,0.14,28,0.7135,142.7,9,10.5
I,0.605,121,0.47,47,0.14,28,0.939,187.8,13,14.5
I,0.605,121,0.495,49.5,0.145,29,1.054,210.8,12,13.5
F,0.56,112,0.445,44.5,0.195,39,0.981,196.2,16,17.5
I,0.535,107,0.42,42,0.145,29,0.926,185.2,17,18.5
F,0.385,77,0.315,31.5,0.11,22,0.286,57.2,10,11.5
F,0.39,78,0.3,30,0.1,20,0.265,53,13,14.5
I,0.47,94,0.345,34.5,0.115,23,0.4885,97.7,11,12.5
I,0.515,103,0.39,39,0.14,28,0.5555,111.1,12,13.5
I,0.425,85,0.345,34.5,0.125,25,0.425,85,13,14.5
M,0.345,69,0.27,27,0.09,18,0.195,39,9,10.5
I,0.485,97,0.37,37,0.13,26,0.458,91.6,10,11.5
M,0.37,74,0.285,28.5,0.1,20,0.228,45.6,10,11.5
M,0.35,70,0.265,26.5,0.09,18,0.1775,35.5,12,13.5
F,0.44,88,0.345,34.5,0.17,34,0.4085,81.7,12,13.5
M,0.195,39,0.145,14.5,0.05,10,0.032,6.4,4,5.5
M,0.325,65,0.24,24,0.075,15,0.155,31,9,10.5
I,0.495,99,0.37,37,0.125,25,0.4775,95.5,18,19.5
I,0.45,90,0.35,35,0.145,29,0.525,105,15,16.5
M,0.415,83,0.345,34.5,0.135,27,0.3865,77.3,13,14.5
F,0.47,94,0.355,35.5,0.14,28,0.433,86.6,12,13.5
M,0.32,64,0.24,24,0.085,17,0.17,34,7,8.5
M,0.31,62,0.225,22.5,0.075,15,0.1295,25.9,9,10.5
M,0.235,47,0.17,17,0.055,11,0.0515,10.3,7,8.5
M,0.345,69,0.255,25.5,0.08,16,0.169,33.8,10,11.5
I,0.485,97,0.38,38,0.14,28,0.673,134.6,18,19.5
F,0.5,100,0.385,38.5,0.115,23,0.6785,135.7,12,13.5
F,0.5,100,0.385,38.5,0.105,21,0.498,99.6,17,18.5
I,0.465,93,0.36,36,0.105,21,0.498,99.6,15,16.5
F,0.525,105,0.405,40.5,0.16,32,0.658,131.6,12,13.5
F,0.425,85,0.335,33.5,0.095,19,0.322,64.4,10,11.5
F,0.38,76,0.305,30.5,0.095,19,0.2815,56.3,8,9.5
I,0.53,106,0.415,41.5,0.145,29,0.944,188.8,21,22.5
M,0.34,68,0.265,26.5,0.085,17,0.1835,36.7,10,11.5
I,0.475,95,0.365,36.5,0.115,23,0.49,98,9,10.5
F,0.43,86,0.34,34,0.12,24,0.391,78.2,7,8.5
M,0.46,92,0.365,36.5,0.125,25,0.467,93.4,10,11.5
I,0.47,94,0.36,36,0.13,26,0.5225,104.5,9,10.5
M,0.36,72,0.295,29.5,0.1,20,0.2105,42.1,9,10.5
M,0.355,71,0.265,26.5,0.09,18,0.168,33.6,8,9.5
M,0.38,76,0.235,23.5,0.1,20,0.258,51.6,7,8.5
M,0.355,71,0.26,26,0.085,17,0.1905,38.1,6,7.5
I,0.44,88,0.345,34.5,0.12,24,0.487,97.4,14,15.5
F,0.51,102,0.4,40,0.13,26,0.5735,114.7,13,14.5
M,0.325,65,0.24,24,0.085,17,0.173,34.6,7,8.5
I,0.62,124,0.485,48.5,0.18,36,1.1785,235.7,13,14.5
F,0.59,118,0.45,45,0.16,32,0.9,180,19,20.5
M,0.33,66,0.255,25.5,0.095,19,0.1875,37.5,7,8.5
M,0.45,90,0.34,34,0.13,26,0.3715,74.3,9,10.5
I,0.445,89,0.33,33,0.12,24,0.347,69.4,11,12.5
M,0.33,66,0.215,21.5,0.075,15,0.1145,22.9,6,7.5
M,0.48,96,0.375,37.5,0.145,29,0.777,155.4,9,10.5
I,0.46,92,0.35,35,0.12,24,0.4885,97.7,11,12.5
F,0.475,95,0.36,36,0.125,25,0.447,89.4,9,10.5
M,0.255,51,0.18,18,0.065,13,0.079,15.8,5,6.5
I,0.335,67,0.245,24.5,0.09,18,0.1665,33.3,6,7.5
I,0.47,94,0.35,35,0.13,26,0.466,93.2,11,12.5
M,0.31,62,0.225,22.5,0.08,16,0.1345,26.9,7,8.5
F,0.37,74,0.28,28,0.11,22,0.2305,46.1,10,11.5
M,0.295,59,0.215,21.5,0.075,15,0.129,25.8,7,8.5
F,0.555,111,0.435,43.5,0.165,33,0.97,194,17,18.5
F,0.615,123,0.515,51.5,0.17,34,1.14,228,16,17.5
I,0.58,116,0.49,49,0.195,39,1.3165,263.3,18,19.5
F,0.585,117,0.475,47.5,0.185,37,0.9585,191.7,11,12.5
I,0.65,130,0.525,52.5,0.18,36,1.626,325.2,18,19.5
I,0.535,107,0.45,45,0.17,34,0.781,156.2,11,12.5
F,0.415,83,0.34,34,0.13,26,0.3675,73.5,10,11.5
F,0.38,76,0.305,30.5,0.105,21,0.281,56.2,12,13.5
I,0.45,90,0.355,35.5,0.12,24,0.412,82.4,19,20.5
F,0.395,79,0.295,29.5,0.095,19,0.2245,44.9,10,11.5
M,0.455,91,0.35,35,0.12,24,0.4835,96.7,11,12.5
F,0.485,97,0.38,38,0.15,30,0.605,121,15,16.5
M,0.55,110,0.425,42.5,0.155,31,0.9175,183.5,13,14.5
F,0.45,90,0.35,35,0.145,29,0.5425,108.5,13,14.5
M,0.475,95,0.385,38.5,0.145,29,0.6175,123.5,14,15.5
F,0.5,100,0.38,38,0.155,31,0.655,131,17,18.5
F,0.53,106,0.41,41,0.165,33,0.8115,162.3,19,20.5
M,0.49,98,0.39,39,0.15,30,0.573,114.6,21,22.5
F,0.49,98,0.385,38.5,0.15,30,0.7865,157.3,23,24.5
F,0.52,104,0.395,39.5,0.18,36,0.64,128,22,23.5
M,0.54,108,0.415,41.5,0.145,29,0.74,148,12,13.5
F,0.5,100,0.375,37.5,0.115,23,0.5945,118.9,11,12.5
F,0.45,90,0.38,38,0.165,33,0.8165,163.3,23,24.5
F,0.37,74,0.275,27.5,0.1,20,0.2225,44.5,8,9.5
I,0.37,74,0.275,27.5,0.1,20,0.2295,45.9,7,8.5
M,0.485,97,0.37,37,0.14,28,0.5725,114.5,10,11.5
F,0.435,87,0.325,32.5,0.115,23,0.3915,78.3,7,8.5
M,0.535,107,0.405,40.5,0.185,37,0.8345,166.9,16,17.5
M,0.51,102,0.4,40,0.14,28,0.6515,130.3,10,11.5
M,0.565,113,0.44,44,0.185,37,0.909,181.8,15,16.5
F,0.535,107,0.4,40,0.15,30,0.8045,160.9,13,14.5
F,0.535,107,0.405,40.5,0.125,25,0.927,185.4,16,17.5
M,0.525,105,0.4,40,0.17,34,0.7305,146.1,11,12.5
M,0.59,118,0.44,44,0.15,30,0.9555,191.1,11,12.5
M,0.5,100,0.375,37.5,0.15,30,0.636,127.2,10,11.5
I,0.255,51,0.19,19,0.075,15,0.0865,17.3,5,6.5
F,0.43,86,0.325,32.5,0.115,23,0.3865,77.3,11,12.5
M,0.38,76,0.29,29,0.12,24,0.283,56.6,9,10.5
I,0.165,33,0.11,11,0.02,4,0.019,3.8,4,5.5
I,0.315,63,0.23,23,0.09,18,0.1285,25.7,7,8.5
I,0.155,31,0.105,10.5,0.05,10,0.0175,3.5,4,5.5
M,0.28,56,0.205,20.5,0.1,20,0.1165,23.3,5,6.5
F,0.43,86,0.335,33.5,0.12,24,0.444,88.8,13,14.5
F,0.395,79,0.315,31.5,0.105,21,0.3515,70.3,16,17.5
M,0.385,77,0.285,28.5,0.105,21,0.2905,58.1,12,13.5
F,0.48,96,0.385,38.5,0.135,27,0.536,107.2,14,15.5
F,0.445,89,0.33,33,0.105,21,0.4525,90.5,9,10.5
M,0.395,79,0.295,29.5,0.115,23,0.316,63.2,12,13.5
M,0.4,80,0.3,30,0.125,25,0.417,83.4,9,10.5
M,0.415,83,0.325,32.5,0.14,28,0.417,83.4,10,11.5
M,0.315,63,0.25,25,0.09,18,0.203,40.6,11,12.5
F,0.345,69,0.26,26,0.09,18,0.207,41.4,10,11.5
M,0.36,72,0.295,29.5,0.13,26,0.2765,55.3,10,11.5
I,0.295,59,0.225,22.5,0.09,18,0.1105,22.1,7,8.5
I,0.325,65,0.25,25,0.08,16,0.176,35.2,7,8.5
M,0.375,75,0.3,30,0.1,20,0.2465,49.3,11,12.5
I,0.28,56,0.205,20.5,0.055,11,0.1135,22.7,7,8.5
M,0.355,71,0.265,26.5,0.085,17,0.201,40.2,8,9.5
M,0.35,70,0.255,25.5,0.08,16,0.1915,38.3,9,10.5
I,0.275,55,0.2,20,0.065,13,0.1035,20.7,7,8.5
I,0.29,58,0.205,20.5,0.07,14,0.0975,19.5,8,9.5
I,0.25,50,0.19,19,0.06,12,0.0765,15.3,6,7.5
I,0.18,36,0.125,12.5,0.035,7,0.0265,5.3,4,5.5
I,0.15,30,0.1,10,0.025,5,0.015,3,2,3.5
I,0.16,32,0.11,11,0.025,5,0.018,3.6,3,4.5
M,0.555,111,0.455,45.5,0.16,32,1.0575,211.5,13,14.5
M,0.555,111,0.44,44,0.15,30,1.092,218.4,15,16.5
M,0.525,105,0.41,41,0.13,26,0.99,198,15,16.5
M,0.465,93,0.36,36,0.08,16,0.488,97.6,11,12.5
F,0.49,98,0.36,36,0.11,22,0.5005,100.1,17,18.5
M,0.4,80,0.305,30.5,0.085,17,0.297,59.4,10,11.5
F,0.48,96,0.375,37.5,0.105,21,0.525,105,12,13.5
M,0.505,101,0.4,40,0.125,25,0.77,154,13,14.5
F,0.52,104,0.4,40,0.12,24,0.6515,130.3,15,16.5
M,0.525,105,0.4,40,0.13,26,0.8295,165.9,11,12.5
M,0.545,109,0.42,42,0.13,26,0.879,175.8,13,14.5
M,0.52,104,0.4,40,0.12,24,0.823,164.6,15,16.5
M,0.505,101,0.38,38,0.13,26,0.656,131.2,13,14.5
M,0.525,105,0.425,42.5,0.12,24,0.8665,173.3,18,19.5
M,0.51,102,0.39,39,0.125,25,0.6565,131.3,10,11.5
M,0.52,104,0.385,38.5,0.115,23,0.669,133.8,12,13.5
F,0.52,104,0.405,40.5,0.125,25,0.6435,128.7,12,13.5
M,0.535,107,0.41,41,0.135,27,0.862,172.4,14,15.5
M,0.445,89,0.345,34.5,0.09,18,0.3795,75.9,10,11.5
M,0.53,106,0.44,44,0.205,41,0.835,167,14,15.5
F,0.36,72,0.265,26.5,0.09,18,0.2065,41.3,8,9.5
F,0.535,107,0.42,42,0.15,30,0.7365,147.3,14,15.5
F,0.52,104,0.405,40.5,0.14,28,0.8175,163.5,17,18.5
M,0.53,106,0.415,41.5,0.13,26,0.8425,168.5,20,21.5
F,0.53,106,0.42,42,0.13,26,1.001,200.2,17,18.5
F,0.66,132,0.52,52,0.2,40,1.676,335.2,17,18.5
M,0.52,104,0.385,38.5,0.14,28,0.6595,131.9,9,10.5
M,0.535,107,0.42,42,0.13,26,0.8055,161.1,14,15.5
M,0.695,139,0.515,51.5,0.175,35,1.5165,303.3,15,16.5
F,0.51,102,0.39,39,0.105,21,0.612,122.4,13,14.5
M,0.485,97,0.355,35.5,0.12,24,0.547,109.4,10,11.5
F,0.605,121,0.46,46,0.17,34,1.122,224.4,13,14.5
F,0.58,116,0.455,45.5,0.165,33,1.1365,227.3,13,14.5
M,0.65,130,0.515,51.5,0.175,35,1.4805,296.1,20,21.5
M,0.62,124,0.505,50.5,0.185,37,1.5275,305.5,13,14.5
M,0.615,123,0.525,52.5,0.155,31,1.1375,227.5,20,21.5
F,0.605,121,0.495,49.5,0.19,38,1.437,287.4,15,16.5
M,0.57,114,0.44,44,0.155,31,1.116,223.2,13,14.5
M,0.57,114,0.43,43,0.12,24,1.0615,212.3,15,16.5
M,0.585,117,0.405,40.5,0.15,30,1.2565,251.3,15,16.5
F,0.55,110,0.44,44,0.155,31,0.946,189.2,16,17.5
F,0.54,108,0.44,44,0.135,27,0.959,191.8,17,18.5
M,0.64,128,0.51,51,0.19,38,1.613,322.6,14,15.5
F,0.61,122,0.47,47,0.145,29,1.153,230.6,14,15.5
M,0.545,109,0.45,45,0.15,30,0.978,195.6,11,12.5
F,0.59,118,0.445,44.5,0.13,26,1.1325,226.5,13,14.5
M,0.345,69,0.27,27,0.095,19,0.197,39.4,9,10.5
F,0.55,110,0.43,43,0.155,31,0.785,157,11,12.5
F,0.53,106,0.425,42.5,0.17,34,0.949,189.8,17,18.5
F,0.53,106,0.455,45.5,0.165,33,0.9805,196.1,11,12.5
I,0.485,97,0.375,37.5,0.14,28,0.521,104.2,8,9.5
M,0.385,77,0.275,27.5,0.115,23,0.2685,53.7,8,9.5
M,0.455,91,0.34,34,0.135,27,0.462,92.4,9,10.5
M,0.49,98,0.38,38,0.14,28,0.7605,152.1,10,11.5
M,0.53,106,0.41,41,0.165,33,0.732,146.4,11,12.5
M,0.505,101,0.385,38.5,0.145,29,0.6775,135.5,15,16.5
M,0.49,98,0.38,38,0.14,28,0.6385,127.7,13,14.5
M,0.465,93,0.35,35,0.14,28,0.5755,115.1,15,16.5
F,0.47,94,0.36,36,0.145,29,0.537,107.4,15,16.5
M,0.56,112,0.41,41,0.165,33,0.93,186,13,14.5
M,0.505,101,0.385,38.5,0.15,30,0.6415,128.3,12,13.5
M,0.515,103,0.435,43.5,0.145,29,0.8815,176.3,10,11.5
I,0.385,77,0.28,28,0.125,25,0.244,48.8,6,7.5
I,0.215,43,0.155,15.5,0.06,12,0.0525,10.5,5,6.5
M,0.55,110,0.415,41.5,0.175,35,1.042,208.4,15,16.5
F,0.515,103,0.39,39,0.13,26,0.5755,115.1,9,10.5
M,0.495,99,0.385,38.5,0.135,27,0.709,141.8,12,13.5
